订单号,诉求类型,申报金额,申请日期,说明
ORD-2026-1000,收到货就发现外圈有一圈锈，明显是放久了,78.26,2026-09-06,锈蚀，工业品最常见的质量诉求
ORD-2026-1001,项目取消了，这批货用不上了，能退吗,1652.0,2025-10-26,外部原因退货，最常见
ORD-2026-1002,标签贴的是我们的单号，里面的货对不上,,2026-02-20,贴错标
ORD-2026-1003,financial 那边卡住了付不了款，先退单,62114.44,2025-11-28,中英混写
ORD-2026-1004,老板说这笔预算冻结了，先退了吧,38226.28,2026-01-09,预算原因
ORD-2026-1005,发的品牌不对，我指定的是原厂件，来的是副厂,,2026-04-09,品牌错发
ORD-2026-1006,对不起，是我们下错单了，这个不是我们要的,426.84,2026-05-26,自认下错，注意别判成发错货
ORD-2026-1007,要的 DN80 法兰，收到一堆 DN50,78540.7,2026-07-14,规格错发
ORD-2026-1008,放着一直没用，现在想退掉,5039.44,2026-05-03,闲置退货，可能超窗
ORD-2026-1009,轴弯了，放平台上一转就晃,16462.8,2026-09-10,形变
ORD-2026-1010,齿轮箱用了两周打齿了，齿面都崩了,,2026-04-27,机械损坏
ORD-2026-1011,参数跟你们说明书上写的对不上,4739.58,2026-09-10,与承诺不符
ORD-2026-1012,温升异常，跑一小时外壳烫手，摸不了,,2026-08-09,间接指标
ORD-2026-1013,我们采购流程没走完就下单了，领导不批,88247.28,2026-09-09,内部流程原因
ORD-2026-1014,物流一直没动,25863.61,2026-05-05,物流投诉，不是退款诉求
ORD-2026-1015,这玩意儿三天两头出故障，修都修不好,2609.8,2026-04-26,反复故障，带情绪
ORD-2026-1016,这单不要了,,2026-03-12,极短
ORD-2026-1017,电机通电就跳闸，师傅说是绕组短路,137643.36,2026-05-06,转述第三方判断
ORD-2026-1018,表面镀层大面积脱落，用手一搓就掉,,2026-09-10,工艺缺陷
ORD-2026-1019,轴承装上去转起来有异响，才用了半个月,58956.0,2026-09-10,把故障说成现象，不带任何词表里的词
ORD-2026-1020,阀门关不严，关到底还是往外冒,2343.43,2026-06-20,口语描述功能失效
ORD-2026-1021,用了不到一个月就不转了，直接罢工,985.48,2026-03-25,口语，功能完全失效
ORD-2026-1022,这批货有六件到手就是变形的，压瘪了,97342.59,2026-07-24,到货即损，可能是运输责任
ORD-2026-1023,噪音特别大，隔壁车间都能听见,,2026-08-09,主观但明确的功能问题
ORD-2026-1024,尺寸没问题，就是我们方案变了,112293.75,2026-03-01,明确排除质量问题
ORD-2026-1025,客户那边改方案了，这型号不要了,,2026-01-29,下游变更
ORD-2026-1026,联轴器弹性块碎了一地,2348.16,2026-09-10,零件破碎
ORD-2026-1027,库房说仓位不够，先退一部分,5965.44,2026-05-01,部分退，仍是无理由
ORD-2026-1028,看错参数了，我要的是 DN100 不是 DN80,,2026-05-02,自己看错，与发错货的分界线
ORD-2026-1029,气缸推力不够，标称 500N 实测只有 300 多,126699.54,2026-08-05,参数不符，带实测值
ORD-2026-1030,我想换个牌子试试，这个先退,2661.36,2026-05-16,换品牌
ORD-2026-1031,配件清单里说有两个接头，实际一个都没有,3111.52,2026-04-02,附件缺失
ORD-2026-1032,电缆绝缘层破了，铜线都露出来了，太危险,10202.96,2026-04-03,安全隐患
ORD-2026-1033,你们这个传感器数值一直跳，根本没法用,42173.94,2026-09-10,功能不达标，带情绪
ORD-2026-1034,你们仓库是不是拿错了，这不是我下的单,,2026-02-12,推测仓库出错
ORD-2026-1035,左旋螺纹订成右旋了，你们也照着右旋发的,,2026-09-10,客户下错 + 商家照发，责任边界
ORD-2026-1036,公司搬迁，这些设备带不走了,,2026-02-03,外部变故
ORD-2026-1037,颜色不对，我要的黑色你们发的银色,,2026-05-05,外观参数错发
ORD-2026-1038,跟上次那单一样处理,,2026-04-23,依赖历史单，本表没有
ORD-2026-1039,质保期内出的问题，你们得给我处理,16220.0,2026-02-28,只强调质保，不说故障
ORD-2026-1040,轴承保持架变形，滚珠都跑出来了,501.0,2026-05-25,结构性损坏
ORD-2026-1041,我订的是 6204，你们发的是 6205,313.0,2026-08-07,型号错，最标准的发错货
ORD-2026-1042,还没拆封，原样退回去可以吗,,2025-11-11,未拆封退货
ORD-2026-1043,设备停产了，配件也不需要了,10459.38,2026-07-02,上游停产
ORD-2026-1044,同事已经在别处买过了，重复采购了,13806.58,2026-02-21,重复采购
ORD-2026-1045,减速机漏油，箱体接缝那里一直在渗,,2026-06-27,渗漏
ORD-2026-1046,法兰盘端面不平，跟管道贴不上，漏水,914.84,2026-03-01,装配失败当质量问题说
ORD-2026-1047,下单太急没看清，其实我们不需要这个,15176.5,2026-02-09,冲动下单
ORD-2026-1048,刚开机就冒烟了，吓死我了,20450.57,2026-09-10,带情绪的严重故障
ORD-2026-1049,按合同办,40792.23,2026-01-13,指向合同，不指向任何诉求类型
ORD-2026-1050,样品测完了，剩下的整单退,,2026-03-26,样品采购
ORD-2026-1051,我买了三样，只到了两样，少发一件,2469.28,2026-06-22,少发，边界情况
ORD-2026-1052,东西是次品吧，做工太粗糙了,117749.33,2026-09-10,泛指质量差
ORD-2026-1053,能不能取消这个订单,188711.12,2026-07-30,说取消其实是要退
ORD-2026-1054,装上以后一直报警，代码 E03，查手册说是内部故障,,2026-02-23,带故障码
ORD-2026-1055,包装完好但里面的件已经断成两截了,,2026-08-28,包装完好 vs 内容损坏，责任判定复杂
ORD-2026-1056,催一下,3176.84,2026-09-09,催办，不是诉求
ORD-2026-1057,订单写的不锈钢，来的是碳钢的,,2026-03-08,材质错发
ORD-2026-1058,我反悔了行不行,,2026-05-20,直白后悔
ORD-2026-1059,还是老问题,,2026-05-07,指代上一次，本单无上下文
