订单号,诉求类型,申报金额,申请日期,说明
ORD-2026-1000,质量问题,78.26,2026-09-06,客户原话：收到货就发现外圈有一圈锈，明显是放久了
ORD-2026-1001,七天无理由,1652.0,2025-10-26,客户原话：项目取消了，这批货用不上了，能退吗
ORD-2026-1002,发错货,,2026-02-20,客户原话：标签贴的是我们的单号，里面的货对不上
ORD-2026-1003,七天无理由,62114.44,2025-11-28,客户原话：financial 那边卡住了付不了款，先退单
ORD-2026-1004,七天无理由,38226.28,2026-01-09,客户原话：老板说这笔预算冻结了，先退了吧
ORD-2026-1005,发错货,,2026-04-09,客户原话：发的品牌不对，我指定的是原厂件，来的是副厂
ORD-2026-1006,七天无理由,426.84,2026-05-26,客户原话：对不起，是我们下错单了，这个不是我们要的
ORD-2026-1007,发错货,78540.7,2026-07-14,客户原话：要的 DN80 法兰，收到一堆 DN50
ORD-2026-1008,七天无理由,5039.44,2026-05-03,客户原话：放着一直没用，现在想退掉
ORD-2026-1009,质量问题,16462.8,2026-09-10,客户原话：轴弯了，放平台上一转就晃
ORD-2026-1010,质量问题,,2026-04-27,客户原话：齿轮箱用了两周打齿了，齿面都崩了
ORD-2026-1011,质量问题,4739.58,2026-09-10,客户原话：参数跟你们说明书上写的对不上
ORD-2026-1012,质量问题,,2026-08-09,客户原话：温升异常，跑一小时外壳烫手，摸不了
ORD-2026-1013,七天无理由,88247.28,2026-09-09,客户原话：我们采购流程没走完就下单了，领导不批
ORD-2026-1014,质量问题,25863.61,2026-05-05,客户原话：物流一直没动
ORD-2026-1015,质量问题,2609.8,2026-04-26,客户原话：这玩意儿三天两头出故障，修都修不好
ORD-2026-1016,七天无理由,,2026-03-12,客户原话：这单不要了
ORD-2026-1017,质量问题,137643.36,2026-05-06,客户原话：电机通电就跳闸，师傅说是绕组短路
ORD-2026-1018,质量问题,,2026-09-10,客户原话：表面镀层大面积脱落，用手一搓就掉
ORD-2026-1019,质量问题,58956.0,2026-09-10,客户原话：轴承装上去转起来有异响，才用了半个月
ORD-2026-1020,质量问题,2343.43,2026-06-20,客户原话：阀门关不严，关到底还是往外冒
ORD-2026-1021,质量问题,985.48,2026-03-25,客户原话：用了不到一个月就不转了，直接罢工
ORD-2026-1022,质量问题,97342.59,2026-07-24,客户原话：这批货有六件到手就是变形的，压瘪了
ORD-2026-1023,质量问题,,2026-08-09,客户原话：噪音特别大，隔壁车间都能听见
ORD-2026-1024,七天无理由,112293.75,2026-03-01,客户原话：尺寸没问题，就是我们方案变了
ORD-2026-1025,七天无理由,,2026-01-29,客户原话：客户那边改方案了，这型号不要了
ORD-2026-1026,质量问题,2348.16,2026-09-10,客户原话：联轴器弹性块碎了一地
ORD-2026-1027,七天无理由,5965.44,2026-05-01,客户原话：库房说仓位不够，先退一部分
ORD-2026-1028,七天无理由,,2026-05-02,客户原话：看错参数了，我要的是 DN100 不是 DN80
ORD-2026-1029,质量问题,126699.54,2026-08-05,客户原话：气缸推力不够，标称 500N 实测只有 300 多
ORD-2026-1030,七天无理由,2661.36,2026-05-16,客户原话：我想换个牌子试试，这个先退
ORD-2026-1031,发错货,3111.52,2026-04-02,客户原话：配件清单里说有两个接头，实际一个都没有
ORD-2026-1032,质量问题,10202.96,2026-04-03,客户原话：电缆绝缘层破了，铜线都露出来了，太危险
ORD-2026-1033,质量问题,42173.94,2026-09-10,客户原话：你们这个传感器数值一直跳，根本没法用
ORD-2026-1034,发错货,,2026-02-12,客户原话：你们仓库是不是拿错了，这不是我下的单
ORD-2026-1035,发错货,,2026-09-10,客户原话：左旋螺纹订成右旋了，你们也照着右旋发的
ORD-2026-1036,七天无理由,,2026-02-03,客户原话：公司搬迁，这些设备带不走了
ORD-2026-1037,发错货,,2026-05-05,客户原话：颜色不对，我要的黑色你们发的银色
ORD-2026-1038,质量问题,,2026-04-23,客户原话：跟上次那单一样处理
ORD-2026-1039,质量问题,16220.0,2026-02-28,客户原话：质保期内出的问题，你们得给我处理
ORD-2026-1040,质量问题,501.0,2026-05-25,客户原话：轴承保持架变形，滚珠都跑出来了
ORD-2026-1041,发错货,313.0,2026-08-07,客户原话：我订的是 6204，你们发的是 6205
ORD-2026-1042,七天无理由,,2025-11-11,客户原话：还没拆封，原样退回去可以吗
ORD-2026-1043,七天无理由,10459.38,2026-07-02,客户原话：设备停产了，配件也不需要了
ORD-2026-1044,七天无理由,13806.58,2026-02-21,客户原话：同事已经在别处买过了，重复采购了
