订单号,诉求类型,申报金额,申请日期,说明
ORD-2026-1000,质量问题,78.26,2026-09-06,客户原话：收到货就发现外圈有一圈锈，明显是放久了
ORD-2026-1003,七天无理由,62114.44,2025-11-28,客户原话：financial 那边卡住了付不了款，先退单
ORD-2026-1007,发错货,78540.7,2026-07-14,客户原话：要的 DN80 法兰，收到一堆 DN50
ORD-2026-1011,质量问题,4739.58,2026-09-10,客户原话：参数跟你们说明书上写的对不上
ORD-2026-1016,七天无理由,,2026-03-12,客户原话：这单不要了
ORD-2026-1022,质量问题,97342.59,2026-07-24,客户原话：这批货有六件到手就是变形的，压瘪了
ORD-2026-1029,质量问题,126699.54,2026-08-05,客户原话：气缸推力不够，标称 500N 实测只有 300 多
ORD-2026-1034,发错货,,2026-02-12,客户原话：你们仓库是不是拿错了，这不是我下的单
ORD-2026-1041,发错货,313.0,2026-08-07,客户原话：我订的是 6204，你们发的是 6205
ORD-2026-1047,七天无理由,15176.5,2026-02-09,客户原话：下单太急没看清，其实我们不需要这个
ORD-2026-1053,七天无理由,188711.12,2026-07-30,客户原话：能不能取消这个订单
ORD-2026-1058,七天无理由,,2026-05-20,客户原话：我反悔了行不行
